Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Luke Weaver","NYY",1.6704363822937012,-5.30367374420166,6.974110126495361,3.436000347137451,0.35297852754592896,1.4487015008926392,1.3774473667144775,1.6191905736923218,1.323212742805481,47,1.4810001850128174,-0.32794251145864717,32,12,"Luke Weaver",16918,596133
"Gabe Speier","SEA",0.9360058307647705,-5.232324123382568,6.16832971572876,8.505999565124512,0.960786759853363,1.3973667621612549,1.2130247354507446,1.56754469871521,1.4021778106689453,72,0.8325106501579285,-0.16267517381019758,31,12,"Gabe Speier",17170,642100
"Phil Maton","- - -",0.9347025156021118,-6.884852170944214,7.819554805755615,13.460000038146973,1.4142633080482483,1.6638818762519143,1.4175730829369533,1.5904222480834476,1.700712180719143,41,1.3604297041893005,-0.7986695642762215,28,12,"Phil Maton",18064,664208
"Caleb Ferguson","- - -",0.9651666879653931,-4.836675047874451,5.801841735839844,8.099000811576843,0.787580631673336,1.2419127384398847,1.053687147347324,1.1250485564981187,1.1892757253213362,66,1.4087203741073608,-0.6315589374851273,20,12,"Caleb Ferguson",19349,657571
"Cole Sands","MIN",-0.8547376394271851,-6.179751873016357,5.325014114379883,-3.1540002822875977,-0.3272046446800232,1.120374083518982,1.0121426582336426,1.1890666484832764,0.9981041550636292,48,0.2677053213119507,-1.0306091156790431,17,12,"Cole Sands",21461,663485
"Tyler Holton","DET",1.16080641746521,-5.1585893630981445,6.319395542144775,11.711999893188477,1.2225507497787476,1.2035115957260132,1.162095308303833,1.2490968704223633,1.1805241107940674,58,0.7194822430610657,0.24503394572144332,21,12,"Tyler Holton",26231,663947
"Jared Koenig","MIL",2.0731863975524902,-5.027951240539551,7.101137638092041,8.023000717163086,0.8070123195648193,1.3564938306808472,1.163284182548523,1.2307499647140503,1.3486062288284302,64,0.6326630115509033,0.8956789172228701,25,12,"Jared Koenig",27517,657649
"Louis Varland","- - -",1.3362483382225037,-4.795148015022278,6.131396174430847,7.003999710083008,0.7330779433250427,1.1765866570648142,1.0954607036851702,1.223536973130213,1.2180245784612802,65,0.3729285001754761,0.7627705409440206,25,12,"Louis Varland",27691,686973
"Taylor Rogers","- - -",-0.8477618247270584,-3.291528105735779,2.4437662959098816,-4.180999755859375,-0.4860760271549225,0.6789303836843515,0.6801412754984044,0.8394525992242914,0.7575061102302707,49,-0.21713251213077456,-1.0315401722857178,9,11,"Taylor Rogers",13449,573124
"Devin Williams","NYY",0.0774160698056221,-7.877160549163818,7.9545769691467285,3.0240001678466797,0.31365084648132324,1.7148739099502563,1.36527681350708,1.385755181312561,1.3977789878845215,38,0.133969247341156,-0.08882536279289338,24,11,"Devin Williams",15816,642207
"Tanner Banks","PHI",1.5488224029541016,-3.0983099937438965,4.647132396697998,9.168999671936035,0.9137595295906067,0.9567917585372925,0.9145497679710388,1.2142146825790405,1.0009034872055054,58,1.0196930170059204,0.5990734377991287,22,11,"Tanner Banks",16990,621383
"Raisel Iglesias","ATL",1.0409380197525024,-7.489711761474609,8.53065013885498,8.071000099182129,0.8160378336906433,1.6491516828536987,1.5909018516540527,1.6325000524520874,2.48207688331604,13,1.4044082164764404,-0.7732121715187934,29,11,"Raisel Iglesias",17130,628452
"Lake Bachar","MIA",0.28870031237602234,-4.8853020668029785,5.174002170562744,1.0310006141662598,0.08786073327064514,0.9562963247299194,0.9279701709747314,1.0611577033996582,1.0631099939346313,40,0.5525538325309753,-0.2506596341426692,20,11,"Lake Bachar",19222,669199
"Matt Festa","CLE",-0.0664559155702591,-3.870014190673828,3.803558111190796,0.4979998767375946,0.049532465636730194,1.0308116674423218,0.8833088874816895,1.1417078971862793,1.1895413398742676,58,0.04481495916843414,-0.10928446186154135,14,11,"Matt Festa",19330,670036
"Anthony Bender","MIA",1.0129863023757935,-5.546801567077637,6.559787750244141,12.166000366210938,1.2391088008880615,1.68647301197052,1.4208143949508667,1.5343215465545654,1.601656436920166,39,0.6821788549423218,-0.08152512660771105,26,11,"Anthony Bender",19742,669622
"Will Vest","DET",1.899306058883667,-8.177422523498535,10.076727867126465,7.599000453948975,0.7664681673049927,1.861956000328064,1.773638367652893,1.8379437923431396,1.5706250667572021,24,0.6507319808006287,0.3693276009236559,30,11,"Will Vest",19769,676684
"Tony Santillan","CIN",2.3294639587402344,-7.437465190887451,9.766928672790527,11.93600082397461,1.1452043056488037,1.658329725265503,1.392529010772705,1.56086003780365,1.486818790435791,64,1.2762889862060547,0.12841595470506673,34,11,"Tony Santillan",19926,663574
"Adrian Morejon","SDP",3.1630983352661133,-4.304008960723877,7.46710729598999,22.094999313354492,2.274439573287964,1.3274592161178589,1.2228538990020752,1.5351253747940063,1.2755666971206665,66,2.046476125717163,0.3363453552444611,37,11,"Adrian Morejon",20039,670970
"Steven Wilson","CHW",0.053470809012651443,-5.335229873657227,5.388700485229492,7.9079999923706055,0.7948216795921326,1.2590324878692627,1.1550648212432861,1.500640630722046,1.4132722616195679,36,-0.055719271302223206,0.09818903243058244,20,11,"Steven Wilson",20353,621051
"Jhoan Duran","- - -",1.3706737458705902,-8.147977590560913,9.518651485443115,15.223000049591064,1.540075957775116,1.8785255887569525,1.5965332872158773,1.6483889089690313,1.64321170834934,17,1.2853955626487732,-0.5557415435211526,34,11,"Jhoan Duran",21029,661395
"Camilo Doval","- - -",0.5194939374923706,-7.241892337799072,7.7613866329193115,2.4069995880126953,0.23237037658691406,1.617226856266892,1.272919515768687,1.3149072156436201,1.4949030009183017,33,0.13792684674263,0.1832983020231645,23,11,"Camilo Doval",21992,666808
"Kyle Leahy","STL",0.8912622928619385,-7.11705207824707,8.00831413269043,9.768000602722168,0.9468749165534973,1.3160582780838013,1.1261646747589111,1.2170524597167969,1.442840814590454,49,0.9740859270095825,-0.29686493482097787,22,11,"Kyle Leahy",24763,681517
"Nick Mears","MIL",0.47015807032585144,-4.91719388961792,5.387351989746094,9.163000106811523,0.9266192317008972,1.425247311592102,1.1692214012145996,1.6273618936538696,1.1673356294631958,59,0.5998863577842712,-0.2700081208622513,22,11,"Nick Mears",25376,683232
"Reid Detmers","LAA",0.911224365234375,-6.299127101898193,7.210351467132568,6.65600061416626,0.6167472004890442,1.4407685995101929,1.3537815809249878,1.5062525272369385,1.3102778196334839,54,0.5868886113166809,0.04556851298777509,29,11,"Reid Detmers",27468,672282
"Cade Smith","CLE",2.0779783725738525,-8.022781372070312,10.100760459899902,9.559000015258789,1.0364972352981567,1.7913908958435059,1.626891851425171,1.712694764137268,1.3648043870925903,46,0.7870697975158691,0.37291062741277403,40,11,"Cade Smith",27867,671922
"Spencer Bivens","SFG",-0.07845020294189453,-5.047870635986328,4.969420433044434,-0.02900087833404541,-0.009344447404146194,0.7902073264122009,0.6970884799957275,1.0998852252960205,0.7676315903663635,38,-0.17829015851020813,0.07901215852242764,11,11,"Spencer Bivens",30226,702352
"Luke Jackson","- - -",-1.2803341345861554,-5.492645028978586,4.21231078915298,-0.01100015640258789,0.03299554530531168,1.222651492430133,1.2522234118077904,1.286623045658836,1.583341690634067,24,0.4174794629216194,-1.4646577819382451,12,10,"Luke Jackson",11752,592426
"Pierce Johnson","ATL",0.16842618584632874,-5.572402000427246,5.740828037261963,8.994000434875488,0.8901158571243286,1.2271771430969238,1.14688241481781,1.3487138748168945,1.5066615343093872,52,0.24648453295230865,-0.1092376922710312,17,10,"Pierce Johnson",13435,572955
"Wandy Peralta","SDP",-0.28846481442451477,-3.844071865081787,3.5556070804595947,0.17899978160858154,0.07693823426961899,0.7175855040550232,0.6676118969917297,0.9908014535903931,0.7634339928627014,53,0.40760543942451477,-0.8095990872816986,8,10,"Wandy Peralta",14295,593974
"Scott Barlow","CIN",1.9890061616897583,-4.146131992340088,6.135138034820557,12.339999198913574,1.1937577724456787,1.062000036239624,0.928311824798584,1.0984594821929932,1.0848424434661865,66,0.9511894583702087,0.9216976356194657,24,10,"Scott Barlow",14993,605130
"Brock Burke","LAA",0.8948399424552917,-4.586237907409668,5.481078147888184,2.013000249862671,0.194324791431427,1.2043263912200928,1.0275063514709473,1.3020529747009277,1.5017777681350708,54,0.6297014355659485,0.11331968310997542,22,10,"Brock Burke",17968,656271
"Pete Fairbanks","TBR",0.9329180121421814,-7.785545349121094,8.718462944030762,10.133999824523926,1.056687355041504,1.8453947305679321,1.6922520399093628,1.7179311513900757,2.69403076171875,13,0.4820365905761719,0.023501870485256315,28,10,"Pete Fairbanks",17998,664126
"Enyel De Los Santos","- - -",-0.1405215859413147,-4.568725228309631,4.428203582763672,-3.1619997024536133,-0.31393927335739136,0.8579815595630086,0.7557943219488318,0.9449077010154724,0.8181571449552264,56,0.3621295094490051,-0.5259111016931156,12,10,"Enyel De Los Santos",18403,660853
"Lucas Erceg","KCR",2.3286101818084717,-5.747168064117432,8.075778007507324,14.123000144958496,1.4427134990692139,1.6468746662139893,1.518984079360962,1.6381639242172241,1.6233019828796387,51,1.325011968612671,0.08894516460483648,29,10,"Lucas Erceg",19360,668674
"Bryan Baker","- - -",0.09037238359451294,-5.744297981262207,5.834670305252075,6.533999726176262,0.662363313138485,1.1693852014944588,1.0625141382217407,1.2176575121814257,1.2036328022597267,61,0.37746836245059967,-0.3001863996901524,24,10,"Bryan Baker",19804,641329
"Greg Weissert","BOS",0.14915397763252258,-7.289825439453125,7.438979625701904,9.407000541687012,0.969195544719696,1.4041591882705688,1.202368974685669,1.3549916744232178,1.217098355293274,61,0.4643472135066986,-0.3581242304728248,23,10,"Greg Weissert",20375,669711
"Robert Suarez","SDP",3.1605749130249023,-7.234050273895264,10.394624710083008,14.461999893188477,1.5708547830581665,1.9845598936080933,1.9974836111068726,2.017305612564087,2.8667428493499756,14,1.6821801662445068,-0.08959788983927486,39,10,"Robert Suarez",30115,663158
"Caleb Thielbar","CHC",0.9479250907897949,-4.084619522094727,5.0325446128845215,10.29800033569336,1.0547401905059814,1.148121953010559,0.9984285235404968,1.2846835851669312,1.1602540016174316,63,1.2940906286239624,-0.46845961590429097,21,9,"Caleb Thielbar",10078,573204
"Tommy Kahnle","DET",1.5595101118087769,-5.689151763916016,7.248661994934082,2.331000328063965,0.22673077881336212,1.3926444053649902,1.2917585372924805,1.4226696491241455,1.3380359411239624,50,0.7379924058914185,0.38182691467667285,25,9,"Tommy Kahnle",11384,592454
"Rafael Montero","- - -",0.16516413912177086,-3.507443740963936,3.6726078242063522,3.6820002794265747,0.364287581294775,0.8857915142558256,0.7774151253700257,0.8485423920013137,1.2872000311811764,36,0.6964527815580368,-0.5099933986630345,8,9,"Rafael Montero",12760,606160
"Carlos Estévez","KCR",2.118417978286743,-8.57742977142334,10.695847511291504,13.782000541687012,1.390753149986267,2.0591883659362793,1.7927587032318115,1.8142447471618652,2.0760998725891113,10,1.2951844930648804,-0.2664209212954114,34,9,"Carlos Estevez",14542,608032
"Emilio Pagán","CIN",1.0888493061065674,-6.794111251831055,7.882960319519043,13.220000267028809,1.3262887001037598,1.5006853342056274,1.5287449359893799,1.505705714225769,2.180285692214966,14,1.4141234159469604,-0.6885553829369366,23,9,"Emilio Pagan",14771,641941
"Kyle Finnegan","- - -",0.8372799754142761,-7.576346397399902,8.413626194000244,3.916999578475952,0.3840951919555664,2.113491116992889,1.6999555338512768,1.7997678688594274,2.002744476000468,18,0.8460228890180588,-0.44986320389689666,28,9,"Kyle Finnegan",15009,640448
"Ryne Stanek","NYM",-0.8131778240203857,-5.188970565795898,4.375792503356934,-9.136000633239746,-0.9434139132499695,1.0631992816925049,0.9043357968330383,1.0439753532409668,1.1424458026885986,48,-0.5740988850593567,-0.190741571497282,17,9,"Ryne Stanek",15947,592773
"Tyler Kinley","- - -",0.9441762864589691,-5.48855984210968,6.432736158370972,5.815001010894775,0.673743724822998,1.141623621637171,0.9883972642033599,1.072931513394395,0.7998528266852757,53,1.2897671312093735,-0.462720223135632,22,9,"Tyler Kinley",18297,641755
"Seranthony Domínguez","- - -",1.8346422910690308,-4.6258769035339355,6.460519194602966,10.437999784946442,1.0998719464987516,1.2536786540079925,1.1332983738038598,1.3333015068253475,1.3731269194529607,52,0.5519640147686005,0.911443123259718,24,9,"Seranthony Dominguez",19249,622554
"Jacob Webb","TEX",-0.0010197577066719532,-4.5711140632629395,4.570094108581543,8.805000305175781,0.9470821022987366,0.9966087341308594,0.9435814619064331,1.0954654216766357,1.0556130409240723,46,0.906766414642334,-0.9077896423863305,13,9,"Jacob Webb",19274,657097
"Jorge Alcala","- - -",-0.9911156818270683,-3.377709925174713,2.3865941762924194,-18.621999979019165,-1.880738526582718,0.6214201338857198,0.5454196281292859,0.6105964300887925,0.8793888754314847,36,-1.3393587470054626,-0.2555617066168787,8,9,"Jorge Alcala",19459,660896
"David Bednar","- - -",2.2512360215187073,-6.83468222618103,9.085918188095093,13.116000175476074,1.366063117980957,1.7915275092394847,1.6020675693239486,1.5622375309467316,1.5146769193502574,13,1.1162369847297668,0.14036444053909314,26,9,"David Bednar",19569,670280
"Grant Anderson","MIL",-0.6191173791885376,-4.362857341766357,3.7437400817871094,2.8330001831054688,0.2791597545146942,0.7528848648071289,0.7143335342407227,0.8407303094863892,0.7755914926528931,47,-0.1254289150238037,-0.6968978551486059,8,9,"Grant Anderson",20546,681982
"Eduard Bazardo","SEA",2.1585817337036133,-3.933413028717041,6.091994762420654,16.993999481201172,1.862937092781067,1.0241531133651733,0.915030300617218,0.9673945307731628,1.2302800416946411,55,1.4730994701385498,0.634575354586556,23,9,"Eduard Bazardo",20997,660825
"Jackson Rutledge","WSN",-0.47075966000556946,-3.3660292625427246,2.8952696323394775,-16.013999938964844,-1.6788415908813477,0.49509331583976746,0.44973739981651306,0.632539689540863,0.5790043473243713,46,-1.931967854499817,0.9811174896406665,7,9,"Jackson Rutledge",26215,671131
"Angel Chivilli","COL",-1.024315357208252,-3.4522969722747803,2.4279816150665283,-15.705000877380371,-1.515520453453064,0.5674799680709839,0.4806022644042969,0.5997860431671143,0.7765888571739197,36,-2.3216676712036133,0.5166429745783321,3,9,"Angel Chivilli",26790,683409
